model_name,epochs,batch,dataset_name,slaves_num,transfer_quantity_GB,transfer_summary_time_in_memory_sec,accuracy,loss,unfreeze,mean_learning_time_by_epoch_sec,gradient_compression,meta,ci95_transfer_quantity_GB_hi,ci95_transfer_quantity_GB_lo,ci95_transfer_summary_time_in_memory_sec_hi,ci95_transfer_summary_time_in_memory_sec_lo,ci95_accuracy_hi,ci95_accuracy_lo,ci95_loss_hi,ci95_loss_lo,ci95_mean_learning_time_by_epoch_sec_hi,ci95_mean_learning_time_by_epoch_sec_lo
18,10,32,uoft-cs/cifar10,16,69.4156,38.91472768783569,0.917,0.0320001,full,153.4461,none,"attempt 1, baseline without compression, 16 slave",[69.41566119156026],[69.4156054751064],[39.104569023868024],[38.19379311201912],[0.9234221131442171],[0.918777886855783],[0.06651227895097994],[0.02986717104902005],[153.47064069060085],[153.06287597606584]
18,10,32,uoft-cs/cifar10,16,69.4157,39.148152351379395,0.9243,0.0491479,full,153.3165,none,"attempt 2, baseline without compression, 16 slave",[69.41566119156026],[69.4156054751064],[39.104569023868024],[38.19379311201912],[0.9234221131442171],[0.918777886855783],[0.06651227895097994],[0.02986717104902005],[153.47064069060085],[153.06287597606584]
18,10,32,uoft-cs/cifar10,16,69.41560000000001,39.268073320388794,0.9184,0.0172394,full,153.204,none,"attempt 3, baseline without compression, 16 slave",[69.41566119156026],[69.4156054751064],[39.104569023868024],[38.19379311201912],[0.9234221131442171],[0.918777886855783],[0.06651227895097994],[0.02986717104902005],[153.47064069060085],[153.06287597606584]
18,10,32,uoft-cs/cifar10,16,69.41560000000001,39.51513981819153,0.928,0.0043162,full,153.2392,none,"attempt 4, baseline without compression, 16 slave",[69.41566119156026],[69.4156054751064],[39.104569023868024],[38.19379311201912],[0.9234221131442171],[0.918777886855783],[0.06651227895097994],[0.02986717104902005],[153.47064069060085],[153.06287597606584]
18,10,32,uoft-cs/cifar10,16,69.41569999999996,39.45595836639404,0.9203,0.0883563,full,153.6255,none,"attempt 5, baseline without compression, 16 slave",[69.41566119156026],[69.4156054751064],[39.104569023868024],[38.19379311201912],[0.9234221131442171],[0.918777886855783],[0.06651227895097994],[0.02986717104902005],[153.47064069060085],[153.06287597606584]
18,10,32,uoft-cs/cifar10,16,69.41560000000004,39.35541653633118,0.9164,0.0578358,full,153.698,none,"attempt 6, baseline without compression, 16 slave",[69.41566119156026],[69.4156054751064],[39.104569023868024],[38.19379311201912],[0.9234221131442171],[0.918777886855783],[0.06651227895097994],[0.02986717104902005],[153.47064069060085],[153.06287597606584]
18,10,32,uoft-cs/cifar10,16,69.41559999999998,38.797868251800594,0.9208,0.0100215,full,153.5156,none,"attempt 7, baseline without compression, 16 slave",[69.41566119156026],[69.4156054751064],[39.104569023868024],[38.19379311201912],[0.9234221131442171],[0.918777886855783],[0.06651227895097994],[0.02986717104902005],[153.47064069060085],[153.06287597606584]
18,10,32,uoft-cs/cifar10,16,69.41570000000002,38.11505508422846,0.9207,0.0256502,full,153.2037,none,"attempt 8, baseline without compression, 16 slave",[69.41566119156026],[69.4156054751064],[39.104569023868024],[38.19379311201912],[0.9234221131442171],[0.918777886855783],[0.06651227895097994],[0.02986717104902005],[153.47064069060085],[153.06287597606584]
18,10,32,uoft-cs/cifar10,16,69.41559999999993,38.03584885597229,0.9234,0.0446436,full,153.3463,none,"attempt 9, baseline without compression, 16 slave",[69.41566119156026],[69.4156054751064],[39.104569023868024],[38.19379311201912],[0.9234221131442171],[0.918777886855783],[0.06651227895097994],[0.02986717104902005],[153.47064069060085],[153.06287597606584]
18,10,32,uoft-cs/cifar10,16,69.41560000000004,38.43499851226812,0.9227,0.1002989,full,153.4552,none,"attempt 10, baseline without compression, 16 slave",[69.41566119156026],[69.4156054751064],[39.104569023868024],[38.19379311201912],[0.9234221131442171],[0.918777886855783],[0.06651227895097994],[0.02986717104902005],[153.47064069060085],[153.06287597606584]
18,10,32,uoft-cs/cifar10,16,69.41570000000002,37.89617466926569,0.9266,0.0568022,full,152.6493,none,"attempt 11, baseline without compression, 16 slave",[69.41566119156026],[69.4156054751064],[39.104569023868024],[38.19379311201912],[0.9234221131442171],[0.918777886855783],[0.06651227895097994],[0.02986717104902005],[153.47064069060085],[153.06287597606584]
18,10,32,uoft-cs/cifar10,16,69.41560000000004,36.85275936126709,0.9146,0.0919646,full,152.5017,none,"attempt 12, baseline without compression, 16 slave",[69.41566119156026],[69.4156054751064],[39.104569023868024],[38.19379311201912],[0.9234221131442171],[0.918777886855783],[0.06651227895097994],[0.02986717104902005],[153.47064069060085],[153.06287597606584]
